date,price,gold_price_lag_1,gold_price_lag_2,gold_price_lag_3,gold_price_lag_4,gold_price_lag_5,gold_MA7,gold_MA30,gold_volatility
1968-05-09,0.0034693264836374,0.0027020715882176,0.0040697868365747,0.0042032224705607,0.0014010741568535,0.0037361977516095,0.0032072207740219427,0.0030484482547730534,0.0009760789589723881
1968-05-11,0.0030189812189345,0.0034693264836374,0.0027020715882176,0.0040697868365747,0.0042032224705607,0.0014010741568535,0.003228665786626843,0.0030868109995440467,0.0009690297424378065
1968-05-12,0.00363612102612,0.0030189812189345,0.0034693264836374,0.0027020715882176,0.0040697868365747,0.0042032224705607,0.0032143691115569142,0.0031123861627247065,0.0009609988000911146
1968-06-05,0.0032358141241618,0.00363612102612,0.0030189812189345,0.0034693264836374,0.0027020715882176,0.0040697868365747,0.003476474821172385,0.0030890349267771464,0.0005435435642431571
1968-06-06,0.0042032224705607,0.0032358141241618,0.00363612102612,0.0030189812189345,0.0034693264836374,0.0027020715882176,0.003476474821172385,0.0031401852531384665,0.0005435435642431571
1968-06-08,0.002535277045735,0.0042032224705607,0.0032358141241618,0.00363612102612,0.0030189812189345,0.0034693264836374,0.0032572591367667145,0.00312350579889021,0.0005730158706676936
1968-06-09,0.0033358908496513,0.002535277045735,0.0042032224705607,0.0032358141241618,0.00363612102612,0.0030189812189345,0.003347804745542957,0.00313962927133019,0.0005181124893220416
1968-06-11,0.0030856990359275,0.0033358908496513,0.002535277045735,0.0042032224705607,0.0032358141241618,0.00363612102612,0.003293000824441543,0.0031891116522666865,0.0005233785900849393
1968-06-12,0.0037361977516095,0.0030856990359275,0.0033358908496513,0.002535277045735,0.0042032224705607,0.0032358141241618,0.0033954603291093998,0.0032124628882142466,0.0005309428740029696
1968-07-05,0.0029355839476932,0.0037361977516095,0.0030856990359275,0.0033358908496513,0.002535277045735,0.0042032224705607,0.0032953836036198575,0.0031768800524846334,0.0005438846800154522
1968-07-06,0.0042365813790572,0.0029355839476932,0.0037361977516095,0.0030856990359275,0.0033358908496513,0.002535277045735,0.0034383503543191996,0.0032302543060790533,0.0006473138803161451
1968-07-08,0.002535277045735,0.0042365813790572,0.0029355839476932,0.0037361977516095,0.0030856990359275,0.0033358908496513,0.003200072436486957,0.00322580645161285,0.0006254557060639663
1968-07-10,0.0032524935784101,0.002535277045735,0.0042365813790572,0.0029355839476932,0.0037361977516095,0.0030856990359275,0.0033025319411548286,0.003217466724488723,0.0005529434050855819
1968-07-11,0.0029355839476932,0.0032524935784101,0.002535277045735,0.0042365813790572,0.0029355839476932,0.0037361977516095,0.0032453452408751004,0.0032552734874514403,0.0005693745453965375
1968-08-04,0.00143443306535,0.0029355839476932,0.0032524935784101,0.002535277045735,0.0042365813790572,0.0029355839476932,0.0030094501022211715,0.00320968297917287,0.000895313224454629
1968-08-05,0.0032358141241618,0.00143443306535,0.0029355839476932,0.0032524935784101,0.002535277045735,0.0042365813790572,0.0029379667268715,0.003180771925142557,0.0008462489816023486
1968-08-07,0.0039697101110851,0.0032358141241618,0.00143443306535,0.0029355839476932,0.0032524935784101,0.002535277045735,0.0030856990359274853,0.0032007872702404633,0.0009317133787130119
1968-08-08,0.0023684825032524,0.0039697101110851,0.0032358141241618,0.00143443306535,0.0029355839476932,0.0032524935784101,0.0028188277679553715,0.00318466379780048,0.000806211964660279
1968-08-10,0.0031357373986723,0.0023684825032524,0.0039697101110851,0.0032358141241618,0.00143443306535,0.0029355839476932,0.002904607818374986,0.0031696522889770504,0.0008029518016240478
1968-08-11,0.0030023017646862,0.0031357373986723,0.0023684825032524,0.0039697101110851,0.0032358141241618,0.00143443306535,0.002868866130700143,0.003224138506188023,0.000790355078623268
1968-09-04,0.0017346632418187,0.0030023017646862,0.0031357373986723,0.0023684825032524,0.0039697101110851,0.0032358141241618,0.0026973060298609284,0.0031429651621798396,0.0008966513397522023
1968-09-05,0.0032024552156653,0.0017346632418187,0.0030023017646862,0.0031357373986723,0.0023684825032524,0.0039697101110851,0.0029498806227631143,0.0031107182172998766,0.0007115326006872745
1968-09-07,0.0032691730326583,0.0032024552156653,0.0017346632418187,0.0030023017646862,0.0031357373986723,0.0023684825032524,0.0029546461811197572,0.003108494290066777,0.0007138747034102212
1968-09-08,0.0024352003202455,0.0032691730326583,0.0032024552156653,0.0017346632418187,0.0030023017646862,0.0031357373986723,0.0027354304967141,0.0030973746539012734,0.0005716617822120025
1968-09-09,0.0034359675751409,0.0024352003202455,0.0032691730326583,0.0032024552156653,0.0017346632418187,0.0030023017646862,0.002887928364126743,0.0031162780353826297,0.0005991793458331399
1968-09-10,0.0026687126797211,0.0034359675751409,0.0024352003202455,0.0032691730326583,0.0032024552156653,0.0017346632418187,0.0028212105471337144,0.003080695199653017,0.000592956246249109
1968-09-12,0.0038029155686025,0.0026687126797211,0.0034359675751409,0.0024352003202455,0.0032691730326583,0.0032024552156653,0.0029355839476931855,0.00316075658004465,0.000701066384946132
1968-10-04,0.0018680988758047,0.0038029155686025,0.0026687126797211,0.0034359675751409,0.0024352003202455,0.0032691730326583,0.0029546461811197572,0.0030829191268861166,0.0006637939831394548
1968-10-05,0.0031357373986723,0.0018680988758047,0.0038029155686025,0.0026687126797211,0.0034359675751409,0.0024352003202455,0.0029451150644064714,0.0030517841456227032,0.0006601115472004851
1968-10-06,0.0042699402875537,0.0031357373986723,0.0018680988758047,0.0038029155686025,0.0026687126797211,0.0034359675751409,0.0030880818151058143,0.0031040464356005735,0.0008288099290494185
1968-10-07,0.0034693264836374,0.0042699402875537,0.0031357373986723,0.0018680988758047,0.0038029155686025,0.0026687126797211,0.0032358141241618003,0.0031040464356005735,0.00078399349443783
1968-10-09,0.0034192881208926,0.0034693264836374,0.0042699402875537,0.0031357373986723,0.0018680988758047,0.0038029155686025,0.003233431344983471,0.0031173899989991763,0.000783308831816064
1968-10-10,0.0027687894052106,0.0034192881208926,0.0034693264836374,0.0042699402875537,0.0031357373986723,0.0018680988758047,0.0032477280200534004,0.003088478944968863,0.0007721172787515375
1968-10-12,0.0038195950228508,0.0027687894052106,0.0034192881208926,0.0034693264836374,0.0042699402875537,0.0031357373986723,0.003250110799231729,0.0031079383082584966,0.0007741392493438878
1968-11-04,0.0020682523267838,0.0038195950228508,0.0027687894052106,0.0034192881208926,0.0034693264836374,0.0042699402875537,0.0032787041493716,0.0030367726367992666,0.0007161074056947551
1968-11-06,0.0044367348300363,0.0020682523267838,0.0038195950228508,0.0027687894052106,0.0034192881208926,0.0034693264836374,0.003464560925280743,0.0031001545629426434,0.0008322314658435952
1968-11-07,0.0028021483137071,0.0044367348300363,0.0020682523267838,0.0038195950228508,0.0027687894052106,0.0034192881208926,0.0032548763575883715,0.0030823631450778368,0.000778677993111759
1968-11-09,0.0034693264836374,0.0028021483137071,0.0044367348300363,0.0020682523267838,0.0038195950228508,0.0027687894052106,0.0032548763575883715,0.003095150726668167,0.000778677993111759
1968-11-10,0.0029189044934449,0.0034693264836374,0.0028021483137071,0.0044367348300363,0.0020682523267838,0.0038195950228508,0.0031833929822387003,0.00306790761806268,0.0007840188408304676
1968-11-11,0.0031023784901758,0.0029189044934449,0.0034693264836374,0.0028021483137071,0.0044367348300363,0.0020682523267838,0.003231048565805157,0.003073467436145434,0.0007645132542983582
