date,price,scaled_price,30_day_MA,price_diff1,price_diff2
1968-01-04,0.0018680988758047,-1.1589290622046549,,,
1968-02-04,0.0016012276078326,-1.1599455982730218,,-0.00026687126797209993,
1968-03-04,0.0018013810588117,-1.1591831962217465,,0.0002001534509791,0.0004670247189511999
1968-04-04,0.001367715248357,-1.160835067332843,,-0.00043366581045470006,-0.0006338192614338
1968-05-04,0.0014010741568535,-1.160708000324297,,3.335890849650008e-05,0.00046702471895120013
1968-08-04,0.00143443306535,-1.1605809333157513,,3.335890849650008e-05,0.0
1968-09-04,0.0017346632418187,-1.159437330238838,,0.00030023017646869997,0.0002668712679721999
1968-10-04,0.0018680988758047,-1.1589290622046549,,0.00013343563398599987,-0.0001667945424827001
1968-11-04,0.0020682523267838,-1.1581666601533795,,0.0002001534509791002,6.671781699310033e-05
1968-01-05,0.0028688661307002,-1.1551170519482783,,0.0008006138039164,0.0006004603529372998
1968-02-05,0.0030356606731827,-1.1544817169055492,,0.00016679454248249995,-0.0006338192614339
1968-03-05,0.0028021483137071,-1.1553711859653704,,-0.00023351235947559985,-0.0004003069019580998
1968-06-05,0.0032358141241618,-1.153719314854274,,0.0004336658104546996,0.0006671781699302995
1968-07-05,0.0029355839476932,-1.1548629179311867,,-0.0003002301764686,-0.0007338959869232996
1968-08-05,0.0032358141241618,-1.153719314854274,,0.0003002301764686,0.0006004603529372
1968-09-05,0.0032024552156653,-1.1538463818628197,,-3.335890849649964e-05,-0.00033358908496509965
1968-10-05,0.0031357373986723,-1.1541005158799114,,-6.671781699300015e-05,-3.335890849650051e-05
1968-04-06,0.0041698635620642,-1.1501614386149894,,0.0010341261633919,0.0011008439803849002
1968-05-06,0.0042032224705607,-1.1500343716064436,,3.335890849650008e-05,-0.0010007672548954
1968-06-06,0.0042032224705607,-1.1500343716064436,,0.0,-3.335890849650008e-05
1968-07-06,0.0042365813790572,-1.1499073045978978,,3.335890849650008e-05,3.335890849650008e-05
1968-10-06,0.0042699402875537,-1.149780237589352,,3.335890849650008e-05,0.0
1968-11-06,0.0044367348300363,-1.1491449025466225,,0.00016679454248259926,0.00013343563398609919
1968-12-06,0.0046702471895119,-1.1482554334868014,,0.00023351235947560028,6.671781699300102e-05
1968-01-07,0.0039363512025886,-1.1510509076748106,,-0.0007338959869233001,-0.0009674083463989003
1968-02-07,0.0040030690195816,-1.150796773657719,,6.671781699300015e-05,0.0008006138039163002
1968-03-07,0.0041031457450712,-1.150415572632081,,0.00010007672548959998,3.335890849659982e-05
1968-04-07,0.0041698635620642,-1.1501614386149894,,6.671781699300015e-05,-3.335890849659982e-05
1968-05-07,0.0040697868365747,-1.1505426396406269,,-0.00010007672548950023,-0.00016679454248250038
1968-08-07,0.0039697101110851,-1.1509238406662647,0.003134625435055707,-0.00010007672548959998,-9.974659986866641e-17
1968-09-07,0.0032691730326583,-1.1535922478457281,0.0031813279069508264,-0.0007005370784268,-0.0006004603529372
1968-10-07,0.0034693264836374,-1.1528298457944528,0.003243597869477653,0.0002001534509791002,0.0009006905294059002
1968-11-07,0.0028021483137071,-1.1553711859653704,0.0032769567779741666,-0.0006671781699302999,-0.0008673316209094001
1968-12-07,0.0029355839476932,-1.1548629179311867,0.0033292190679520403,0.00013343563398609962,0.0008006138039163995
1968-01-08,0.0026687126797211,-1.1558794539995538,0.00337147368538096,-0.00026687126797209993,-0.00040030690195819955
1968-02-08,0.0026353537712246,-1.1560065210080994,0.00341150437557678,-3.335890849650008e-05,0.00023351235947559985
1968-05-08,0.0027020715882176,-1.1557523869910078,0.0034437513204567433,6.671781699300015e-05,0.00010007672548950023
1968-06-08,0.002535277045735,-1.1563877220337373,0.0034659905927877533,-0.00016679454248260013,-0.00023351235947560028
1968-07-08,0.002535277045735,-1.1563877220337373,0.00348155808341946,0.0,0.00016679454248260013
1968-08-08,0.0023684825032524,-1.1570230570764668,0.0034648786291712,-0.0001667945424825997,-0.0001667945424825997
1968-09-08,0.0024352003202455,-1.1567689230593747,0.0034448632840732934,6.67178169930999e-05,0.0002335123594756996
1968-12-08,0.002468559228742,-1.156641856050829,0.0034337436479077903,3.335890849650008e-05,-3.335890849659982e-05
1968-03-09,0.0033692497581479,-1.1532110468200902,0.0034381915023739937,0.0009006905294058998,0.0008673316209093997
1968-04-09,0.0033358908496513,-1.1533381138286365,0.0034515350657725965,-3.335890849659982e-05,-0.0009340494379024996
1968-05-09,0.0034693264836374,-1.1528298457944528,0.00345931881108845,0.00013343563398610005,0.00016679454248269988
1968-06-09,0.0033358908496513,-1.1533381138286365,0.0034637666655546505,-0.00013343563398610005,-0.0002668712679722001
1968-09-09,0.0034359675751409,-1.1529569128029986,0.0034737743381036035,0.00010007672548959998,0.00023351235947570003
1968-10-09,0.0034192881208926,-1.1530204463072717,0.003448755156731217,-1.667945424829991e-05,-0.00011675617973789989
1968-11-09,0.0034693264836374,-1.1528298457944528,0.0034242919571671063,5.003836274479999e-05,6.67178169930999e-05
1968-12-09,0.0034693264836374,-1.1528298457944528,0.0033998287576029965,0.0,-5.003836274479999e-05
1968-01-10,0.0030356606731827,-1.1544817169055492,0.00335979806740718,-0.00043366581045470006,-0.00043366581045470006
1968-02-10,0.0026687126797211,-1.1558794539995538,0.00330642381381276,-0.00036694799346160016,6.67178169930999e-05
1968-03-10,0.0028521866764519,-1.1551805854525516,0.003253605542026613,0.0001834739967308003,0.0005504219901924005
1968-04-10,0.0027687894052106,-1.1554982529739162,0.0031902236158832366,-8.339727124130007e-05,-0.00026687126797210036
1968-07-10,0.0032524935784101,-1.1536557813500008,0.0031674283617439533,0.00048370417319950005,0.0005671014444408001
1968-08-10,0.0031357373986723,-1.1541005158799114,0.0031385173077136436,-0.00011675617973780014,-0.0006004603529373002
1968-09-10,0.0026687126797211,-1.1558794539995538,0.0030907028722019733,-0.00046702471895120013,-0.0003502685392134
1968-10-10,0.0027687894052106,-1.1554982529739162,0.0030440004003068535,0.00010007672548950023,0.0005671014444407004
1968-11-10,0.0029189044934449,-1.1549264514354598,0.0030056376555358598,0.00015011508823429979,5.0038362744799555e-05
1968-01-11,0.0028521866764519,-1.1551805854525516,0.0029683868743814196,-6.671781699299972e-05,-0.0002168329052272995
1968-04-11,0.0028688661307002,-1.1551170519482783,0.0029550433109828164,1.667945424829991e-05,8.339727124129963e-05
1968-05-11,0.0030189812189345,-1.154545250409822,0.0029400318021593863,0.00015011508823429979,0.00013343563398599987
1968-06-11,0.0030856990359275,-1.1542911163927303,0.002949483492900067,6.671781699300015e-05,-8.339727124129963e-05
1968-07-11,0.0029355839476932,-1.1548629179311867,0.0029494834929000664,-0.00015011508823430022,-0.00021683290522730037
1968-08-11,0.0030023017646862,-1.154608783914095,0.00296060312906557,6.671781699300015e-05,0.00021683290522730037
1968-11-11,0.0031023784901758,-1.1542275828884572,0.002976170619697277,0.00010007672548959998,3.335890849659982e-05
1968-12-11,0.003185775761417,-1.1539099153670929,0.002992294092137257,8.339727124119988e-05,-1.6679454248400092e-05
1968-02-12,0.0035026853921339,-1.152702778785907,0.0030245410370172204,0.00031690963071690035,0.00023351235947570046
1968-03-12,0.0035860826633752,-1.1523851112645422,0.00305956789093856,8.339727124129963e-05,-0.00023351235947560072
1968-04-12,0.0037361977516095,-1.1518133097260859,0.00310515839921713,0.00015011508823430022,6.671781699300059e-05
1968-05-12,0.00363612102612,-1.1521945107517233,0.0031451890894129467,-0.00010007672548950023,-0.00025019181372380045
1968-06-12,0.0037361977516095,-1.1518133097260859,0.003187443706841863,0.00010007672548950023,0.00020015345097900046
1968-09-12,0.0038029155686025,-1.1515591757089942,0.003201899233857017,6.671781699300015e-05,-3.335890849650008e-05
1968-10-12,0.0038195950228508,-1.1514956422047211,0.003218022706297,1.667945424829991e-05,-5.003836274470024e-05
1968-11-12,0.0040364279280781,-1.1506697066491731,0.0032369260877783564,0.00021683290522729994,0.00020015345097900003
1968-12-12,0.0040531073823264,-1.1506061731449,0.0032608333055341933,1.667945424829991e-05,-0.00020015345097900003
1969-02-01,0.0046035293725189,-1.148509567503893,0.0032997520321134603,0.0005504219901924998,0.0005337425359441999
1969-03-01,0.0047703239150015,-1.1478742324611637,0.0033447865585837567,0.00016679454248260013,-0.00038362744770989964
1969-06-01,0.0047703239150015,-1.1478742324611637,0.003388153139629227,0.0,-0.00016679454248260013
1969-07-01,0.004803682823498,-1.1477471654526177,0.0034326316842912467,3.335890849650008e-05,3.335890849650008e-05
1969-08-01,0.0050371951829736,-1.1468576963927968,0.003499349501284277,0.00023351235947560028,0.0002001534509791002
1969-09-01,0.0050705540914701,-1.1467306293842507,0.00357941088167591,3.335890849650008e-05,-0.0002001534509791002
1969-10-01,0.004937118457484,-1.1472388974184344,0.0036489086077103132,-0.00013343563398610005,-0.00016679454248260013
1969-03-02,0.0050205157287253,-1.1469212298970697,0.0037239661518274703,8.339727124130007e-05,0.00021683290522740012
1969-04-02,0.0050705540914701,-1.1467306293842507,0.00378456816892947,5.003836274479999e-05,-3.335890849650008e-05
1969-05-02,0.0052206691797044,-1.1461588278457946,0.0038540658949638732,0.00015011508823429935,0.00010007672548949936
1969-06-02,0.0051539513627114,-1.146412961862886,0.003936907184396883,-6.671781699299929e-05,-0.00021683290522729864
1969-07-02,0.0050872335457183,-1.1466670958799783,0.00401418865574714,-6.671781699310077e-05,-1.0148132334464322e-16
1969-10-02,0.0050371951829736,-1.1468576963927968,0.004084798345398097,-5.0038362744699375e-05,1.6679454248401393e-05
1969-11-02,0.0051039129999666,-1.146603562375705,0.004159855889515254,6.671781699300015e-05,0.00011675617973769953
1969-12-02,0.0050705540914701,-1.1467306293842507,0.004233245488207584,-3.335890849650008e-05,-0.00010007672548950023
1969-03-03,0.0052039897254561,-1.1462223613500675,0.004306079105091637,0.00013343563398599944,0.00016679454248249952
1969-04-03,0.0053040664509457,-1.1458411603244296,0.004380024685592243,0.00010007672548959998,-3.335890849639946e-05
1969-05-03,0.0054041431764352,-1.1454599592987922,0.004462309993216977,0.00010007672548950023,-9.974659986866641e-17
