date,price
1968-02-01,0.032123502567027944
1968-03-01,0.03397746719908728
1968-04-01,0.032052196235025664
1968-05-01,0.03155305191100969
1968-08-01,0.03176697090701653
1968-09-01,0.02984169994295493
1968-10-01,0.02898602395892754
1968-11-01,0.029306902452937815
1968-12-01,0.030483456930975462
1968-01-02,0.025777239018824873
1968-02-02,0.026668568168853386
1968-05-02,0.025955504848830573
1968-06-02,0.024101540216771238
1968-07-02,0.024707644038790645
1968-08-02,0.02520678836280662
1968-09-02,0.023745008556759838
1968-12-02,0.023424130062749564
1968-01-03,0.033086138049058765
1968-04-03,0.03272960638904734
1968-05-03,0.03265830005704507
1968-06-03,0.030733029092983456
1968-07-03,0.03269395322304621
1968-08-03,0.0340844266970907
1968-11-03,0.03297917855105533
1968-12-03,0.033870507701083845
1968-01-04,0.035189674843126066
1968-02-04,0.03315744438106103
1968-03-04,0.03290787221905304
1968-04-04,0.030412150598973182
1968-05-04,0.02966343411294923
1968-08-04,0.030733029092983456
1968-09-04,0.033264403879064465
1968-10-04,0.03319309754706217
1968-11-04,0.031695664575014264
1968-01-05,0.03868368511123788
1968-02-05,0.03654449515116943
1968-03-05,0.03718625213918995
1968-06-05,0.037899315459212775
1968-07-05,0.03469053051911009
1968-08-05,0.0374001711351968
1968-09-05,0.03732886480319452
1968-10-05,0.03882629777524244
1968-04-06,0.0411437535653166
1968-05-06,0.04096548773531088
1968-06-06,0.042142042213348545
1968-07-06,0.04299771819737593
1968-10-06,0.041856816885339425
1968-11-06,0.043996006845407866
1968-12-06,0.046491728465487735
1968-01-07,0.04420992584141472
1968-02-07,0.04246292070735882
1968-03-07,0.04338990302338847
1968-04-07,0.04331859669138619
1968-05-07,0.04278379920136908
1968-08-07,0.041500285225328
1968-09-07,0.03732886480319452
1968-10-07,0.04085852823730748
1968-11-07,0.039111523103251576
1968-12-07,0.03843411294922989
1968-01-08,0.03397746719908728
1968-02-08,0.03469053051911009
1968-05-08,0.03290787221905304
1968-06-08,0.03255134055904164
1968-07-08,0.033264403879064465
1968-08-08,0.031838277239018824
1968-09-08,0.03144609241300627
1968-12-08,0.030412150598973182
1968-03-09,0.03451226468910439
1968-04-09,0.03504706217912149
1968-05-09,0.03572447233314318
1968-06-09,0.035367940673131766
1968-09-09,0.03461922418710781
1968-10-09,0.031945236737022244
1968-11-09,0.034797490017113526
1968-12-09,0.03301483171705647
1968-01-10,0.030946948088990296
1968-02-10,0.029199942954934395
1968-03-10,0.02955647461494581
1968-04-10,0.02898602395892754
1968-07-10,0.02955647461494581
1968-08-10,0.02902167712492868
1968-09-10,0.027773816314888768
1968-10-10,0.026347689674843126
1968-11-10,0.027738163148887614
1968-01-11,0.02249714774671991
1968-04-11,0.024636337706788365
1968-05-11,0.0252780946948089
1968-06-11,0.02567027952082144
1968-07-11,0.02442241871078151
1968-08-11,0.024778950370792925
1968-11-11,0.026026811180832853
1968-12-11,0.026347689674843126
1968-02-12,0.023923274386765538
1968-03-12,0.02406588705077011
1968-04-12,0.02549201369081574
1968-05-12,0.025991158014831713
1968-06-12,0.027203365658870514
1968-09-12,0.02723901882487164
1968-10-12,0.025099828864803185
1968-11-12,0.02663291500285226
1968-12-12,0.02538505419281232
1969-02-01,0.02445807187678265
1969-03-01,0.024778950370792925
1969-06-01,0.024957216200798625
1969-07-01,0.02513548203080434
1969-08-01,0.026561608670849966
1969-09-01,0.026205077010838566
1969-10-01,0.02745293782087848
1969-03-02,0.02549201369081574
1969-04-02,0.025634626354820313
1969-05-02,0.02534940102681118
1969-06-02,0.023174557900741584
1969-07-02,0.021855390758699363
1969-10-02,0.021784084426697083
1969-11-02,0.021784084426697083
1969-12-02,0.021427552766685683
1969-03-03,0.019359669138619508
1969-04-03,0.018717912150598974
1969-05-03,0.02103536794067313
1969-06-03,0.021891043924700503
1969-07-03,0.023281517398745004
1969-10-03,0.02242584141471763
1969-11-03,0.021641471762692523
1969-12-03,0.02000142612664004
1969-01-04,0.019324015972618368
1969-02-04,0.018789218482601254
1969-03-04,0.02007273245864232
1969-08-04,0.01975185396463206
1969-09-04,0.018896177980604674
1969-10-04,0.019324015972618368
1969-11-04,0.018860524814603534
1969-01-05,0.0180405019965773
1969-02-05,0.018004848830576146
1969-05-05,0.017719623502567027
1969-06-05,0.017327438676554473
1969-07-05,0.019074443810610374
1969-08-05,0.020464917284654875
1969-09-05,0.019430975470621788
1969-12-05,0.01864660581859668
1969-02-06,0.017862236166571586
1969-03-06,0.017862236166571586
1969-04-06,0.017327438676554473
1969-05-06,0.017612664004563607
1969-06-06,0.017006560182544213
1969-09-06,0.0160439247005134
1969-10-06,0.014796063890473471
1969-11-06,0.014689104392470044
1969-12-06,0.014724757558471191
1969-01-07,0.011515972618368508
1969-02-07,0.010624643468339988
1969-03-07,0.010731602966343408
1969-04-07,0.011266400456360522
1969-07-07,0.011480319452367369
1969-08-07,0.012157729606389042
1969-09-07,0.012335995436394749
1969-10-07,0.01394038790644609
1969-11-07,0.012799486594409583
1969-01-08,0.01219338277239019
1969-04-08,0.012300342270393609
1969-05-08,0.011658585282373068
1969-06-08,0.01219338277239019
1969-07-08,0.01219338277239019
1969-08-08,0.012549914432401596
1969-11-08,0.014903023388476891
1969-12-08,0.013619509412435817
1969-02-09,0.014831717056474611
1969-03-09,0.015437820878494012
1969-04-09,0.015437820878494012
1969-05-09,0.015330861380490585
1969-08-09,0.016257843696520245
1969-09-09,0.017327438676554473
1969-10-09,0.017184826012549913
1969-11-09,0.017719623502567027
1969-12-09,0.018967484312606954
1969-01-10,0.02107102110667427
1969-02-10,0.022176269252709636
1969-03-10,0.021320593268682263
1969-06-10,0.019716200798630908
1969-07-10,0.02110667427267541
1969-08-10,0.019644894466628628
1969-09-10,0.020393610952652595
1969-10-10,0.020250998288648035
1969-03-11,0.025812892184826013
1969-04-11,0.024814603536794065
1969-05-11,0.025705932686822593
1969-06-11,0.025563320022818033
1969-07-11,0.024671990872789505
1969-10-11,0.023923274386765538
1969-11-11,0.02442241871078151
1969-12-11,0.024565031374786085
1969-01-12,0.02263976041072447
1969-02-12,0.023174557900741584
1969-03-12,0.02267541357672561
1969-04-12,0.021570165430690243
1969-05-12,0.02067883628066173
1969-08-12,0.02103536794067313
1969-09-12,0.019252709640616088
1969-10-12,0.017327438676554473
1969-11-12,0.017648317170564733
1969-12-12,0.016970907016543066
1970-02-01,0.018824871648602394
1970-05-01,0.01993011979463776
1970-06-01,0.020607529948659435
1970-07-01,0.019716200798630908
1970-08-01,0.020179691956645755
1970-09-01,0.0201440387906446
1970-12-01,0.019324015972618368
1970-02-02,0.022176269252709636
1970-03-02,0.022390188248716476
1970-04-02,0.023210211066742724
1970-05-02,0.022461494580718756
1970-06-02,0.022318881916714196
1970-09-02,0.02263976041072447
1970-10-02,0.02267541357672561
1970-11-02,0.022140616086708496
1970-12-02,0.022033656588705076
1970-02-03,0.022069309754706216
1970-03-03,0.02242584141471763
1970-04-03,0.022283228750713056
1970-05-03,0.023388476896748424
1970-06-03,0.022461494580718756
1970-09-03,0.021962350256702783
1970-10-03,0.021855390758699363
1970-11-03,0.022033656588705076
1970-12-03,0.021677124928693663
1970-01-04,0.021534512264689103
1970-02-04,0.022033656588705076
1970-03-04,0.021605818596691383
1970-06-04,0.021391899600684543
1970-07-04,0.02092840844266971
1970-08-04,0.02089275527666857
1970-09-04,0.02085710211066743
1970-10-04,0.020393610952652595
1970-01-05,0.016471762692527092
1970-04-05,0.016471762692527092
1970-05-05,0.013583856246434683
1970-06-05,0.016293496862521392
1970-07-05,0.015223901882487165
1970-08-05,0.016293496862521392
1970-11-05,0.017006560182544213
1970-12-05,0.017184826012549913
1970-01-06,0.013548203080433537
1970-02-06,0.012015116942384482
1970-03-06,0.012478608100399316
1970-04-06,0.01326297775242441
1970-05-06,0.01326297775242441
1970-08-06,0.013298630918425557
1970-09-06,0.01418996006845407
1970-10-06,0.014724757558471191
1970-11-06,0.01333428408442669
1970-12-06,0.012728180262407296
1970-01-07,0.012549914432401596
1970-02-07,0.01308471192241871
1970-03-07,0.012514261266400456
1970-06-07,0.012549914432401596
1970-07-07,0.011551625784369655
1970-08-07,0.012478608100399316
1970-09-07,0.012478608100399316
1970-10-07,0.012549914432401596
1970-03-08,0.018218767826583
1970-04-08,0.017434398174557893
1970-05-08,0.017969195664575006
1970-06-08,0.016970907016543066
1970-07-08,0.016543069024529372
1970-10-08,0.017327438676554473
1970-11-08,0.016222190530519112
1970-12-08,0.016792641186537366
1970-01-09,0.020500570450656015
1970-02-09,0.02021534512264688
1970-03-09,0.020322304620650315
1970-04-09,0.020571876782658295
1970-07-09,0.020464917284654875
1970-08-09,0.020464917284654875
1970-09-09,0.021249286936679983
1970-10-09,0.02067883628066173
1970-11-09,0.020357957786651455
1970-01-10,0.01597261836851112
1970-02-10,0.016329150028522532
1970-05-10,0.016329150028522532
1970-06-10,0.015473474044495145
1970-07-10,0.016970907016543066
1970-08-10,0.017577010838562453
1970-09-10,0.016863947518539646
1970-12-10,0.016863947518539646
1970-02-11,0.01864660581859668
1970-03-11,0.018147461494580706
1970-04-11,0.01853964632059326
1970-05-11,0.019324015972618368
1970-06-11,0.01843268682258984
1970-09-11,0.01832572732458642
1970-10-11,0.01968054763262978
1970-11-11,0.01846833998859098
1970-12-11,0.019074443810610374
1970-01-12,0.011943810610382195
1970-02-12,0.013512549914432397
1970-03-12,0.01315601825442099
1970-04-12,0.013512549914432397
1970-07-12,0.013120365088419843
1970-08-12,0.012692527096406156
1970-09-12,0.011551625784369655
1970-10-12,0.010945521962350255
1970-11-12,0.011836851112378782
1971-04-01,0.013583856246434683
1971-05-01,0.013548203080433537
1971-06-01,0.013369937250427837
1971-07-01,0.014903023388476891
1971-08-01,0.014938676554478038
1971-11-01,0.015580433542498572
1971-12-01,0.015152595550484885
1971-01-02,0.011480319452367369
1971-02-02,0.012015116942384482
1971-03-02,0.012407301768397036
1971-04-02,0.012300342270393609
1971-05-02,0.011872504278379915
1971-08-02,0.012157729606389042
1971-09-02,0.011016828294352535
1971-10-02,0.010909868796349115
1971-11-02,0.011480319452367369
1971-12-02,0.011337706788362809
1971-01-03,0.011658585282373068
1971-02-03,0.012692527096406156
1971-03-03,0.01219338277239019
1971-04-03,0.012229035938391329
1971-05-03,0.01301340559041643
1971-08-03,0.013726468910439243
1971-09-03,0.013904734740444943
1971-10-03,0.014083000570450657
1971-11-03,0.01386908157444381
1971-12-03,0.013726468910439243
1971-01-04,0.01572304620650314
1971-02-04,0.01565173987450086
1971-05-04,0.0166500285225328
1971-06-04,0.016222190530519112
1971-07-04,0.01650741585852824
1971-08-04,0.017184826012549913
1971-03-05,0.014510838562464344
1971-04-05,0.013690815744438103
1971-05-05,0.015045636052481458
1971-06-05,0.014903023388476891
1971-07-05,0.014760410724472331
1971-10-05,0.014225613234455217
1971-11-05,0.014439532230462064
1971-12-05,0.014154306902452937
1971-01-06,0.012157729606389042
1971-02-06,0.011337706788362809
1971-03-06,0.011230747290359382
1971-04-06,0.011230747290359382
1971-07-06,0.011159440958357095
1971-08-06,0.011052481460353682
1971-09-06,0.012799486594409583
1971-10-06,0.012015116942384482
1971-11-06,0.01219338277239019
1971-01-07,0.011729891614375355
1971-02-07,0.011765544780376495
1971-05-07,0.011052481460353682
1971-06-07,0.011302053622361662
1971-07-07,0.010945521962350255
