date,price
1968-01-04,0.001868098875804785
1968-02-04,0.0016012276078326698
1968-03-04,0.0018013810588117588
1968-04-04,0.0013677152483570765
1968-05-04,0.0014010741568535878
1968-08-04,0.0014344330653500992
1968-09-04,0.001734663241818729
1968-10-04,0.001868098875804785
1968-11-04,0.0020682523267838704
1968-01-05,0.0028688661307002053
1968-02-05,0.003035660673182776
1968-03-05,0.002802148313707179
1968-06-05,0.003235814124161858
1968-07-05,0.0029355839476932315
1968-08-05,0.003235814124161858
1968-09-05,0.0032024552156653466
1968-10-05,0.003135737398672317
1968-04-06,0.004169863562064249
1968-05-06,0.004203222470560767
1968-06-06,0.004203222470560767
1968-07-06,0.004236581379057278
1968-10-06,0.00426994028755379
1968-11-06,0.00443673483003636
1968-12-06,0.004670247189511961
1968-01-07,0.003936351202588652
1968-02-07,0.004003069019581678
1968-03-07,0.004103145745071219
1968-04-07,0.004169863562064249
1968-05-07,0.004069786836574708
1968-08-07,0.003969710111085167
1968-09-07,0.0032691730326583693
1968-10-07,0.003469326483637458
1968-11-07,0.002802148313707179
1968-12-07,0.0029355839476932315
1968-01-08,0.00266871267972112
1968-02-08,0.0026353537712246085
1968-05-08,0.002702071588217638
1968-06-08,0.0025352770457350675
1968-07-08,0.0025352770457350675
1968-08-08,0.002368482503252497
1968-09-08,0.0024352003202455196
1968-12-08,0.002468559228742038
1968-03-09,0.0033692497581479172
1968-04-09,0.003335890849651399
1968-05-09,0.003469326483637458
1968-06-09,0.003335890849651399
1968-09-09,0.00343596757514094
1968-10-09,0.0034192881208926842
1968-11-09,0.003469326483637458
1968-12-09,0.003469326483637458
1968-01-10,0.003035660673182776
1968-02-10,0.00266871267972112
1968-03-10,0.002852186676451946
1968-04-10,0.002768789405210661
1968-07-10,0.0032524935784101136
1968-08-10,0.003135737398672317
1968-09-10,0.00266871267972112
1968-10-10,0.002768789405210661
1968-11-10,0.002918904493444976
1968-01-11,0.002852186676451946
1968-04-11,0.0028688661307002053
1968-05-11,0.003018981218934517
1968-06-11,0.003085699035927543
1968-07-11,0.0029355839476932315
1968-08-11,0.003002301764686261
1968-11-11,0.003102378490175802
1968-12-11,0.003185775761417084
1968-02-12,0.0035026853921339696
1968-03-12,0.003586082663375255
1968-04-12,0.00373619775160957
1968-05-12,0.003636121026120029
1968-06-12,0.00373619775160957
1968-09-12,0.003802915568602596
1968-10-12,0.003819595022850855
1968-11-12,0.004036427928078196
1968-12-12,0.004053107382326452
1969-02-01,0.004603529372518931
1969-03-01,0.004770323915001502
1969-06-01,0.004770323915001502
1969-07-01,0.004803682823498016
